i, time, sound
0, 0, 471
1, 0.0226757, -274
2, 0.0453515, -1161
3, 0.0680272, -1910
4, 0.0907029, -2447
5, 0.113379, -3013
6, 0.136054, -3619
7, 0.15873, -4063
8, 0.181406, -4053
9, 0.204082, -3316
10, 0.226757, -2080
11, 0.249433, -812
12, 0.272109, 307
13, 0.294785, 1201
14, 0.31746, 1703
15, 0.340136, 1561
16, 0.362812, 878
17, 0.385488, 257
18, 0.408163, 113
19, 0.430839, 299
20, 0.453515, 268
21, 0.47619, -247
22, 0.498866, -774
23, 0.521542, -1019
24, 0.544218, -1294
25, 0.566893, -1798
26, 0.589569, -2382
27, 0.612245, -2777
28, 0.634921, -2855
29, 0.657596, -2617
30, 0.680272, -1890
31, 0.702948, -631
32, 0.725624, 748
33, 0.748299, 1744
34, 0.770975, 2218
35, 0.793651, 2520
36, 0.816327, 2863
37, 0.839002, 2976
38, 0.861678, 2568
39, 0.884354, 1654
40, 0.907029, 664
41, 0.929705, 6
42, 0.952381, -354
43, 0.975057, -622
44, 0.997732, -1034
45, 1.02041, -1687
46, 1.04308, -2366
47, 1.06576, -2911
48, 1.08844, -3318
49, 1.11111, -3604
50, 1.13379, -3731
51, 1.15646, -3502
52, 1.17914, -2949
53, 1.20181, -2391
54, 1.22449, -1870
55, 1.24717, -1136
56, 1.26984, -155
57, 1.29252, 746
58, 1.31519, 1335
59, 1.33787, 1781
60, 1.36054, 2225
61, 1.38322, 2611
62, 1.4059, 2863
63, 1.42857, 2886
64, 1.45125, 2657
65, 1.47392, 2131
66, 1.4966, 1169
67, 1.51927, -32
68, 1.54195, -1017
69, 1.56463, -1681
70, 1.5873, -2249
71, 1.60998, -2776
72, 1.63265, -3021
73, 1.65533, -2698
74, 1.678, -1790
75, 1.70068, -672
76, 1.72336, 251
77, 1.74603, 996
78, 1.76871, 1608
79, 1.79138, 1906
80, 1.81406, 1958
81, 1.83673, 1893
82, 1.85941, 1660
83, 1.88209, 1408
84, 1.90476, 1333
85, 1.92744, 1414
86, 1.95011, 1527
87, 1.97279, 1520
88, 1.99546, 1388
89, 2.01814, 1189
90, 2.04082, 983
91, 2.06349, 706
92, 2.08617, 200
93, 2.10884, -261
94, 2.13152, -368
95, 2.1542, -128
96, 2.17687, 549
97, 2.19955, 1705
98, 2.22222, 3146
99, 2.2449, 4617
100, 2.26757, 5991
101, 2.29025, 7190
102, 2.31293, 8079
103, 2.3356, 8522
104, 2.35828, 8428
105, 2.38095, 7962
106, 2.40363, 7509
107, 2.4263, 7262
108, 2.44898, 7124
109, 2.47166, 6961
110, 2.49433, 6814
111, 2.51701, 6754
112, 2.53968, 6662
113, 2.56236, 6389
114, 2.58503, 5902
115, 2.60771, 5240
116, 2.63039, 4568
117, 2.65306, 4064
118, 2.67574, 3637
119, 2.69841, 3165
120, 2.72109, 2906
121, 2.74376, 3001
122, 2.76644, 3215
123, 2.78912, 3460
124, 2.81179, 3616
125, 2.83447, 3441
126, 2.85714, 3007
127, 2.87982, 2436
128, 2.90249, 1678
129, 2.92517, 879
130, 2.94785, 266
131, 2.97052, -165
132, 2.9932, -518
133, 3.01587, -929
134, 3.03855, -1413
135, 3.06122, -1857
136, 3.0839, -2355
137, 3.10658, -2868
138, 3.12925, -3063
139, 3.15193, -2840
140, 3.1746, -2333
141, 3.19728, -1733
142, 3.21995, -1103
143, 3.24263, -188
144, 3.26531, 1018
145, 3.28798, 2033
146, 3.31066, 2499
147, 3.33333, 2489
148, 3.35601, 2321
149, 3.37868, 1962
150, 3.40136, 1085
151, 3.42404, -89
152, 3.44671, -1114
153, 3.46939, -1934
154, 3.49206, -2567
155, 3.51474, -3057
156, 3.53741, -3637
157, 3.56009, -4457
158, 3.58277, -5395
159, 3.60544, -6317
160, 3.62812, -7082
161, 3.65079, -7332
162, 3.67347, -6993
163, 3.69615, -6284
164, 3.71882, -5278
165, 3.7415, -4084
166, 3.76417, -2661
167, 3.78685, -943
168, 3.80952, 581
169, 3.8322, 1460
170, 3.85488, 1847
171, 3.87755, 2068
172, 3.90023, 2078
173, 3.9229, 1486
174, 3.94558, 350
175, 3.96825, -752
176, 3.99093, -1563
177, 4.01361, -2361
178, 4.03628, -3467
179, 4.05896, -4730
180, 4.08163, -5788
181, 4.10431, -6605
182, 4.12698, -7417
183, 4.14966, -8361
184, 4.17234, -9086
185, 4.19501, -9083
186, 4.21769, -8360
187, 4.24036, -7167
188, 4.26304, -5734
189, 4.28571, -4339
190, 4.30839, -2959
191, 4.33107, -1527
192, 4.35374, -214
193, 4.37642, 995
194, 4.39909, 2150
195, 4.42177, 2999
196, 4.44444, 3130
197, 4.46712, 2500
198, 4.4898, 1715
199, 4.51247, 1186
200, 4.53515, 730
201, 4.55782, 106
202, 4.5805, -780
203, 4.60317, -1698
204, 4.62585, -2334
205, 4.64853, -2861
206, 4.6712, -3459
207, 4.69388, -3906
208, 4.71655, -3930
209, 4.73923, -3292
210, 4.7619, -2133
211, 4.78458, -933
212, 4.80726, 133
213, 4.82993, 1052
214, 4.85261, 1637
215, 4.87528, 1597
216, 4.89796, 973
217, 4.92063, 296
218, 4.94331, 27
219, 4.96599, 155
220, 4.98866, 209
221, 5.01134, -157
222, 5.03401, -692
223, 5.05669, -1094
224, 5.07937, -1397
225, 5.10204, -1731
226, 5.12472, -2163
227, 5.14739, -2506
228, 5.17007, -2581
229, 5.19274, -2397
230, 5.21542, -1796
231, 5.2381, -709
232, 5.26077, 582
233, 5.28345, 1611
234, 5.30612, 2114
235, 5.3288, 2359
236, 5.35147, 2563
237, 5.37415, 2623
238, 5.39683, 2407
239, 5.4195, 1757
240, 5.44218, 824
241, 5.46485, 98
242, 5.48753, -270
243, 5.5102, -519
244, 5.53288, -894
245, 5.55556, -1467
246, 5.57823, -2118
247, 5.60091, -2644
248, 5.62358, -2976
249, 5.64626, -3191
250, 5.66893, -3303
251, 5.69161, -3169
252, 5.71429, -2749
253, 5.73696, -2254
254, 5.75964, -1808
255, 5.78231, -1277
256, 5.80499, -526
257, 5.82766, 331
258, 5.85034, 1068
259, 5.87302, 1672
260, 5.89569, 2215
261, 5.91837, 2687
262, 5.94104, 3038
263, 5.96372, 3125
264, 5.98639, 2881
265, 6.00907, 2383
266, 6.03175, 1569
267, 6.05442, 454
268, 6.0771, -626
269, 6.09977, -1368
270, 6.12245, -1840
271, 6.14512, -2273
272, 6.1678, -2637
273, 6.19048, -2607
274, 6.21315, -1975
275, 6.23583, -954
276, 6.2585, 23
277, 6.28118, 806
278, 6.30385, 1476
279, 6.32653, 1935
280, 6.34921, 2080
281, 6.37188, 2015
282, 6.39456, 1869
283, 6.41723, 1666
284, 6.43991, 1491
285, 6.46259, 1493
286, 6.48526, 1613
287, 6.50794, 1704
288, 6.53061, 1626
289, 6.55329, 1342
290, 6.57596, 1057
291, 6.59864, 752
292, 6.62132, 257
293, 6.64399, -235
294, 6.66667, -447
295, 6.68934, -307
296, 6.71202, 301
297, 6.73469, 1485
298, 6.75737, 2975
299, 6.78005, 4433
300, 6.80272, 5784
301, 6.8254, 6969
302, 6.84807, 7941
303, 6.87075, 8586
304, 6.89342, 8627
305, 6.9161, 8143
306, 6.93878, 7671
307, 6.96145, 7482
308, 6.98413, 7357
309, 7.0068, 7119
310, 7.02948, 6838
311, 7.05215, 6640
312, 7.07483, 6501
313, 7.09751, 6261
314, 7.12018, 5837
315, 7.14286, 5218
316, 7.16553, 4531
317, 7.18821, 3985
318, 7.21088, 3512
319, 7.23356, 3085
320, 7.25624, 2861
321, 7.27891, 2850
322, 7.30159, 2941
323, 7.32426, 3118
324, 7.34694, 3337
325, 7.36961, 3277
326, 7.39229, 2846
327, 7.41497, 2273
328, 7.43764, 1530
329, 7.46032, 658
330, 7.48299, -28
331, 7.50567, -439
332, 7.52834, -742
333, 7.55102, -1165
334, 7.5737, -1705
335, 7.59637, -2182
336, 7.61905, -2671
337, 7.64172, -3159
338, 7.6644, -3356
339, 7.68707, -3119
340, 7.70975, -2537
341, 7.73243, -1878
342, 7.7551, -1208
343, 7.77778, -283
344, 7.80045, 839
345, 7.82313, 1782
346, 7.8458, 2307
347, 7.86848, 2435
348, 7.89116, 2292
349, 7.91383, 1844
350, 7.93651, 1005
351, 7.95918, 2
352, 7.98186, -914
353, 8.00454, -1771
354, 8.02721, -2511
355, 8.04989, -3024
356, 8.07256, -3531
357, 8.09524, -4301
358, 8.11791, -5321
359, 8.14059, -6367
360, 8.16327, -7113
361, 8.18594, -7312
362, 8.20862, -7043
363, 8.23129, -6438
364, 8.25397, -5475
365, 8.27664, -4279
366, 8.29932, -2885
367, 8.322, -1239
368, 8.34467, 261
369, 8.36735, 1204
370, 8.39002, 1666
371, 8.4127, 1939
372, 8.43537, 2011
373, 8.45805, 1540
374, 8.48073, 562
375, 8.5034, -488
376, 8.52608, -1350
377, 8.54875, -2095
378, 8.57143, -3038
379, 8.5941, -4265
380, 8.61678, -5397
381, 8.63946, -6281
382, 8.66213, -7200
383, 8.68481, -8224
384, 8.70748, -9015
385, 8.73016, -9139
386, 8.75283, -8552
387, 8.77551, -7510
388, 8.79819, -6130
389, 8.82086, -4616
390, 8.84354, -3168
391, 8.86621, -1772
392, 8.88889, -425
393, 8.91156, 891
394, 8.93424, 2133
395, 8.95692, 3049
396, 8.97959, 3286
397, 9.00227, 2796
398, 9.02494, 2057
399, 9.04762, 1466
400, 9.07029, 948
401, 9.09297, 359
402, 9.11565, -439
403, 9.13832, -1378
404, 9.161, -2074
405, 9.18367, -2587
406, 9.20635, -3204
407, 9.22902, -3742
408, 9.2517, -3939
409, 9.27438, -3492
410, 9.29705, -2367
411, 9.31973, -1085
412, 9.3424, 34
413, 9.36508, 969
414, 9.38776, 1583
415, 9.41043, 1655
416, 9.43311, 1179
417, 9.45578, 564
418, 9.47846, 238
419, 9.50113, 285
420, 9.52381, 364
421, 9.54649, 48
422, 9.56916, -506
423, 9.59184, -931
424, 9.61451, -1260
425, 9.63719, -1618
426, 9.65986, -2071
427, 9.68254, -2489
428, 9.70522, -2631
429, 9.72789, -2495
430, 9.75057, -1992
431, 9.77324, -991
432, 9.79592, 251
433, 9.81859, 1320
434, 9.84127, 1943
435, 9.86395, 2247
436, 9.88662, 2460
437, 9.9093, 2579
438, 9.93197, 2475
439, 9.95465, 1902
440, 9.97732, 972
441, 10, 196
442, 10.0227, -241
443, 10.0454, -514
444, 10.068, -809
445, 10.0907, -1303
446, 10.1134, -1965
447, 10.1361, -2598
448, 10.1587, -3108
449, 10.1814, -3474
450, 10.2041, -3643
451, 10.2268, -3508
452, 10.2494, -3078
453, 10.2721, -2562
454, 10.2948, -2046
