i, time, sound
0, 0, -10701
1, 0.0208333, -11683
2, 0.0416667, -12427
3, 0.0625, -12948
4, 0.0833333, -13270
5, 0.104167, -13432
6, 0.125, -13464
7, 0.145833, -13387
8, 0.166667, -13227
9, 0.1875, -12943
10, 0.208333, -12360
11, 0.229167, -11272
12, 0.25, -9668
13, 0.270833, -7856
14, 0.291667, -6316
15, 0.3125, -5364
16, 0.333333, -4930
17, 0.354167, -4678
18, 0.375, -4400
19, 0.395833, -4266
20, 0.416667, -4622
21, 0.4375, -5562
22, 0.458333, -6840
23, 0.479167, -8139
24, 0.5, -9263
25, 0.520833, -10106
26, 0.541667, -10664
27, 0.5625, -11126
28, 0.583333, -11733
29, 0.604167, -12488
30, 0.625, -13134
31, 0.645833, -13429
32, 0.666667, -13293
33, 0.6875, -12698
34, 0.708333, -11627
35, 0.729167, -10181
36, 0.75, -8581
37, 0.770833, -7010
38, 0.791667, -5528
39, 0.8125, -4179
40, 0.833333, -3132
41, 0.854167, -2619
42, 0.875, -2724
43, 0.895833, -3286
44, 0.916667, -4052
45, 0.9375, -4859
46, 0.958333, -5610
47, 0.979167, -6173
48, 1, -6448
49, 1.02083, -6436
50, 1.04167, -6133
51, 1.0625, -5458
52, 1.08333, -4404
53, 1.10417, -3130
54, 1.125, -1760
55, 1.14583, -236
56, 1.16667, 1553
57, 1.1875, 3644
58, 1.20833, 6062
59, 1.22917, 8801
60, 1.25, 11671
61, 1.27083, 14334
62, 1.29167, 16575
63, 1.3125, 18391
64, 1.33333, 19802
65, 1.35417, 20710
66, 1.375, 20973
67, 1.39583, 20539
68, 1.41667, 19512
69, 1.4375, 18162
70, 1.45833, 16826
71, 1.47917, 15701
72, 1.5, 14746
73, 1.52083, 13772
74, 1.54167, 12621
75, 1.5625, 11307
76, 1.58333, 10009
77, 1.60417, 8871
78, 1.625, 7858
79, 1.64583, 6919
80, 1.66667, 6248
81, 1.6875, 6208
82, 1.70833, 6966
83, 1.72917, 8339
84, 1.75, 9993
85, 1.77083, 11663
86, 1.79167, 13192
87, 1.8125, 14495
88, 1.83333, 15449
89, 1.85417, 15811
90, 1.875, 15297
91, 1.89583, 13844
92, 1.91667, 11724
93, 1.9375, 9359
94, 1.95833, 7096
95, 1.97917, 5129
96, 2, 3513
97, 2.02083, 2172
98, 2.04167, 984
99, 2.0625, -114
100, 2.08333, -1120
101, 2.10417, -2037
102, 2.125, -2902
103, 2.14583, -3758
104, 2.16667, -4667
105, 2.1875, -5733
106, 2.20833, -7041
