i, time, sound
0, 0, -630
1, 0.0208333, -166
2, 0.0416667, 102
3, 0.0625, 323
4, 0.0833333, 387
5, 0.104167, 49
6, 0.125, -667
7, 0.145833, -1491
8, 0.166667, -2199
9, 0.1875, -2671
10, 0.208333, -2903
11, 0.229167, -2976
12, 0.25, -2832
13, 0.270833, -2218
14, 0.291667, -1007
15, 0.3125, 700
16, 0.333333, 2756
17, 0.354167, 4991
18, 0.375, 7212
19, 0.395833, 9363
20, 0.416667, 11518
21, 0.4375, 13692
22, 0.458333, 15805
23, 0.479167, 17714
24, 0.5, 19232
25, 0.520833, 20286
26, 0.541667, 20970
27, 0.5625, 21355
28, 0.583333, 21438
29, 0.604167, 21224
30, 0.625, 20673
31, 0.645833, 19671
32, 0.666667, 18225
33, 0.6875, 16560
34, 0.708333, 15025
35, 0.729167, 13946
36, 0.75, 13405
37, 0.770833, 13184
38, 0.791667, 13070
39, 0.8125, 13077
40, 0.833333, 13293
41, 0.854167, 13757
42, 0.875, 14487
43, 0.895833, 15352
44, 0.916667, 15985
45, 0.9375, 16023
46, 0.958333, 15290
47, 0.979167, 13708
48, 1, 11293
49, 1.02083, 8301
50, 1.04167, 5182
51, 1.0625, 2279
52, 1.08333, -379
53, 1.10417, -2955
54, 1.125, -5543
55, 1.14583, -8115
56, 1.16667, -10652
57, 1.1875, -13156
58, 1.20833, -15517
59, 1.22917, -17485
60, 1.25, -18846
61, 1.27083, -19533
62, 1.29167, -19535
63, 1.3125, -18780
64, 1.33333, -17153
65, 1.35417, -14571
66, 1.375, -11036
67, 1.39583, -6780
68, 1.41667, -2298
69, 1.4375, 1979
70, 1.45833, 5940
71, 1.47917, 9559
72, 1.5, 12668
73, 1.52083, 15122
74, 1.54167, 16843
75, 1.5625, 17702
76, 1.58333, 17663
77, 1.60417, 16910
78, 1.625, 15603
79, 1.64583, 13802
80, 1.66667, 11711
81, 1.6875, 9645
82, 1.70833, 7830
83, 1.72917, 6401
84, 1.75, 5443
85, 1.77083, 4990
86, 1.79167, 5128
87, 1.8125, 5933
88, 1.83333, 7200
89, 1.85417, 8548
90, 1.875, 9766
91, 1.89583, 10802
92, 1.91667, 11591
93, 1.9375, 12054
94, 1.95833, 12106
