i, time, sound
0, 0, 83
1, 0.0208333, 160
2, 0.0416667, 394
3, 0.0625, 749
4, 0.0833333, 1189
5, 0.104167, 1685
6, 0.125, 2253
7, 0.145833, 2921
8, 0.166667, 3628
9, 0.1875, 4246
10, 0.208333, 4672
11, 0.229167, 4817
12, 0.25, 4605
13, 0.270833, 3982
14, 0.291667, 2899
15, 0.3125, 1342
16, 0.333333, -659
17, 0.354167, -3024
18, 0.375, -5581
19, 0.395833, -8135
20, 0.416667, -10567
21, 0.4375, -12773
22, 0.458333, -14605
23, 0.479167, -15959
24, 0.5, -16803
25, 0.520833, -17114
26, 0.541667, -16872
27, 0.5625, -16088
28, 0.583333, -14841
29, 0.604167, -13279
30, 0.625, -11527
31, 0.645833, -9669
32, 0.666667, -7812
33, 0.6875, -6062
34, 0.708333, -4479
35, 0.729167, -3095
36, 0.75, -1930
37, 0.770833, -1020
38, 0.791667, -397
39, 0.8125, -35
40, 0.833333, 102
41, 0.854167, 19
42, 0.875, -234
43, 0.895833, -601
44, 0.916667, -1099
45, 0.9375, -1771
46, 0.958333, -2656
47, 0.979167, -3758
48, 1, -4987
49, 1.02083, -6287
50, 1.04167, -7724
51, 1.0625, -9252
52, 1.08333, -10675
53, 1.10417, -11906
54, 1.125, -12952
55, 1.14583, -13804
56, 1.16667, -14460
57, 1.1875, -14840
58, 1.20833, -14837
59, 1.22917, -14495
60, 1.25, -13877
61, 1.27083, -12958
62, 1.29167, -11815
63, 1.3125, -10557
64, 1.33333, -9131
65, 1.35417, -7529
66, 1.375, -5915
67, 1.39583, -4411
68, 1.41667, -3035
69, 1.4375, -1795
70, 1.45833, -717
71, 1.47917, 168
72, 1.5, 921
73, 1.52083, 1705
74, 1.54167, 2590
75, 1.5625, 3536
76, 1.58333, 4560
77, 1.60417, 5649
78, 1.625, 6680
79, 1.64583, 7486
80, 1.66667, 7938
81, 1.6875, 8064
82, 1.70833, 8009
83, 1.72917, 7799
84, 1.75, 7405
85, 1.77083, 6990
86, 1.79167, 6794
87, 1.8125, 6970
88, 1.83333, 7607
89, 1.85417, 8652
90, 1.875, 9940
91, 1.89583, 11435
92, 1.91667, 13172
93, 1.9375, 15033
94, 1.95833, 16792
95, 1.97917, 18256
96, 2, 19371
97, 2.02083, 20206
98, 2.04167, 20714
99, 2.0625, 20736
100, 2.08333, 20283
101, 2.10417, 19461
102, 2.125, 18252
103, 2.14583, 16654
104, 2.16667, 14793
105, 2.1875, 12843
106, 2.20833, 11060
107, 2.22917, 9717
108, 2.25, 8880
109, 2.27083, 8400
110, 2.29167, 8084
111, 2.3125, 7812
112, 2.33333, 7564
113, 2.35417, 7334
114, 2.375, 7059
115, 2.39583, 6652
116, 2.41667, 6018
117, 2.4375, 5083
118, 2.45833, 3958
119, 2.47917, 2885
120, 2.5, 1992
121, 2.52083, 1215
122, 2.54167, 395
123, 2.5625, -583
124, 2.58333, -1714
125, 2.60417, -2991
126, 2.625, -4453
127, 2.64583, -6071
128, 2.66667, -7759
129, 2.6875, -9454
130, 2.70833, -11047
131, 2.72917, -12392
132, 2.75, -13400
133, 2.77083, -14009
134, 2.79167, -14188
135, 2.8125, -13973
136, 2.83333, -13388
137, 2.85417, -12484
138, 2.875, -11417
139, 2.89583, -10259
140, 2.91667, -8904
141, 2.9375, -7294
142, 2.95833, -5561
143, 2.97917, -3883
144, 3, -2328
145, 3.02083, -836
146, 3.04167, 629
147, 3.0625, 1974
148, 3.08333, 3053
149, 3.10417, 3773
150, 3.125, 4125
151, 3.14583, 4249
152, 3.16667, 4357
